name	labeled	exact_precision	precision	recall	fscore	
random	2142	0.05088702147525677	0.12464985994397759	0.0853035143769968	0.1012898330804249	
15_SVO.txt	1952	0.2459016393442623	0.46311475409836067	0.3561859732072498	0.4026726057906459	
15_SVO_filtered.txt	0	0	0	0.0	0	
15_SVO_corrected.txt	1951	0.2460276781137878	0.44028703229113275	0.33307483520744474	0.3792494481236203	
15_SVO_filtered_corrected.txt	1898	0.2528977871443625	0.4362486828240253	0.3294866693195384	0.3754250736794377	
15_SVO_hypernyms.txt	1958	0.24514811031664965	0.4274770173646578	0.3234157650695518	0.36823581170259573	
20_SVO.txt	1963	0.2445236882322975	0.4579724910850739	0.35296427169218686	0.3986696230598669	
20_SVO_filtered.txt	0	0	0	0.0	0	
20_SVO_corrected.txt	1958	0.24514811031664965	0.43922369765066394	0.3328173374613003	0.37868780273007485	
20_SVO_filtered_corrected.txt	1914	0.2507836990595611	0.4320794148380355	0.3272655322516818	0.3724386399459581	
20_SVO_hypernyms.txt	1963	0.2445236882322975	0.43097300050942433	0.3268933539412674	0.37178642056690836	
25_SVO.txt	1973	0.2432843385707045	0.45717181956411557	0.3533098315707011	0.3985859478568272	
25_SVO_filtered.txt	0	0	0	0.0	0	
25_SVO_corrected.txt	1966	0.2441505595116989	0.43743641912512715	0.3317901234567901	0.3773584905660377	
25_SVO_filtered_corrected.txt	1942	0.24716786817713698	0.427394438722966	0.324853228962818	0.3691349788748054	
25_SVO_hypernyms.txt	1966	0.2441505595116989	0.4399796541200407	0.333976833976834	0.3797190517998244	
