name	action	labeled	exact_precision	precision	recall	fscore	
random	draw	245	0.0653061224489796	0.11020408163265306	0.08852459016393442	0.09818181818181818	
15_SVO.txt	draw	66	0.7878787878787878	0.7878787878787878	0.5	0.6117647058823529	
15_SVO_filtered.txt	draw	0	0	0	0.0	0	
15_SVO_corrected.txt	draw	64	0.8125	0.8125	0.5098039215686274	0.6265060240963856	
15_SVO_filtered_corrected.txt	draw	85	0.611764705882353	0.6470588235294118	0.4583333333333333	0.5365853658536585	
15_SVO_hypernyms.txt	draw	56	0.9285714285714286	0.9285714285714286	0.5531914893617021	0.6933333333333335	
20_SVO.txt	draw	66	0.7878787878787878	0.8181818181818182	0.5294117647058824	0.6428571428571428	
20_SVO_filtered.txt	draw	0	0	0	0.0	0	
20_SVO_corrected.txt	draw	62	0.8387096774193549	0.8387096774193549	0.52	0.6419753086419753	
20_SVO_filtered_corrected.txt	draw	113	0.46017699115044247	0.49557522123893805	0.38095238095238093	0.4307692307692308	
20_SVO_hypernyms.txt	draw	88	0.5909090909090909	0.6590909090909091	0.47540983606557374	0.5523809523809523	
25_SVO.txt	draw	65	0.8	0.8307692307692308	0.5346534653465347	0.6506024096385542	
25_SVO_filtered.txt	draw	0	0	0	0.0	0	
25_SVO_corrected.txt	draw	62	0.8387096774193549	0.8387096774193549	0.52	0.6419753086419753	
25_SVO_filtered_corrected.txt	draw	108	0.48148148148148145	0.5185185185185185	0.39436619718309857	0.44799999999999995	
25_SVO_hypernyms.txt	draw	93	0.5591397849462365	0.6451612903225806	0.47244094488188976	0.5454545454545454	
