name	action	labeled	exact_precision	precision	recall	fscore	
random	hit	207	0.01932367149758454	0.03864734299516908	0.032520325203252036	0.03532008830022075	
10_SVO.txt	hit	22	0.45454545454545453	0.5909090909090909	0.23636363636363636	0.33766233766233766	
15_SVO_filtered.txt	hit	0	0	0	0.0	0	
35_SVO_corrected.txt	hit	50	0.2	0.24	0.14285714285714285	0.1791044776119403	
10_SVO_filtered_corrected.txt	hit	15	0.6666666666666666	0.6666666666666666	0.19607843137254902	0.303030303030303	
15_SVO_hypernyms.txt	hit	158	0.06329113924050633	0.11392405063291139	0.0962566844919786	0.10434782608695652	
35_SVO.txt	hit	65	0.15384615384615385	0.2153846153846154	0.14432989690721648	0.1728395061728395	
10_SVO_filtered.txt	hit	0	0	0	0.0	0	
15_SVO_corrected.txt	hit	23	0.43478260869565216	0.5652173913043478	0.23214285714285715	0.3291139240506329	
35_SVO_filtered_corrected.txt	hit	58	0.1724137931034483	0.1724137931034483	0.10638297872340426	0.13157894736842105	
10_SVO_hypernyms.txt	hit	44	0.22727272727272727	0.25	0.13924050632911392	0.17886178861788618	
15_SVO.txt	hit	24	0.4166666666666667	0.5416666666666666	0.22807017543859648	0.32098765432098764	
35_SVO_filtered.txt	hit	0	0	0	0.0	0	
10_SVO_corrected.txt	hit	22	0.45454545454545453	0.5909090909090909	0.23636363636363636	0.33766233766233766	
15_SVO_filtered_corrected.txt	hit	16	0.625	0.625	0.19230769230769232	0.29411764705882354	
35_SVO_hypernyms.txt	hit	283	0.0353356890459364	0.06007067137809187	0.054313099041533544	0.05704697986577181	
10_multi_reg_geo.txt	hit	25	0.4	0.4	0.16393442622950818	0.23255813953488375	
15_multi_reg_w.txt	hit	13	0.7692307692307693	0.7692307692307693	0.20408163265306123	0.3225806451612903	
35_multi_sem_geo.txt	hit	18	0.5555555555555556	0.6111111111111112	0.20754716981132076	0.3098591549295775	
10_multi_sem_w.txt	hit	16	0.625	0.6875	0.21568627450980393	0.3283582089552239	
15_multi_reg_geo.txt	hit	22	0.45454545454545453	0.45454545454545453	0.1724137931034483	0.25000000000000006	
35_multi_reg_w.txt	hit	12	0.8333333333333334	0.8333333333333334	0.20833333333333334	0.33333333333333337	
10_multi_sem_geo.txt	hit	699	0.01430615164520744	0.034334763948497854	0.03314917127071823	0.03373155305692199	
15_multi_sem_w.txt	hit	15	0.6666666666666666	0.7333333333333333	0.22	0.3384615384615385	
35_multi_reg_geo.txt	hit	12	0.8333333333333334	0.8333333333333334	0.20833333333333334	0.33333333333333337	
10_multi_reg_w.txt	hit	12	0.8333333333333334	0.8333333333333334	0.20833333333333334	0.33333333333333337	
15_multi_sem_geo.txt	hit	54	0.18518518518518517	0.2222222222222222	0.13636363636363635	0.16901408450704225	
35_multi_sem_w.txt	hit	12	0.8333333333333334	0.8333333333333334	0.20833333333333334	0.33333333333333337	
