name	labeled	exact_precision	precision	recall	fscore	
random	2142	0.26563958916900093	0.3011204481792717	0.3011204481792717	0.3011204481792717	
10_SVO.txt	1935	0.29405684754521966	0.3736434108527132	0.33753501400560226	0.35467255334805	
15_SVO_filtered.txt	569	1.0	1.0	0.26563958916900093	0.4197713021025452	
35_SVO_corrected.txt	1982	0.2870837537840565	0.33198789101917253	0.30718954248366015	0.3191076624636276	
10_SVO_filtered_corrected.txt	1855	0.3067385444743935	0.33746630727762805	0.29225023342670403	0.31323492619464594	
15_SVO_hypernyms.txt	1958	0.2906026557711951	0.3258426966292135	0.29785247432306255	0.31121951219512195	
35_SVO.txt	1983	0.2869389813414019	0.33232476046394355	0.30765639589169	0.31951515151515153	
10_SVO_filtered.txt	569	1.0	1.0	0.26563958916900093	0.4197713021025452	
15_SVO_corrected.txt	1951	0.291645310097386	0.35622757560225526	0.32446311858076565	0.339604202296604	
35_SVO_filtered_corrected.txt	1942	0.29299691040164777	0.30844490216271886	0.2796451914098973	0.2933398628795299	
10_SVO_hypernyms.txt	1945	0.29254498714652954	0.3393316195372751	0.3081232492997199	0.32297528749694154	
15_SVO.txt	1952	0.29149590163934425	0.36065573770491804	0.32866479925303455	0.3439179286761114	
35_SVO_filtered.txt	569	1.0	1.0	0.26563958916900093	0.4197713021025452	
10_SVO_corrected.txt	1934	0.2942088934850052	0.374870734229576	0.338468720821662	0.35574092247301276	
15_SVO_filtered_corrected.txt	1900	0.29947368421052634	0.3405263157894737	0.30205415499533145	0.32013854527461655	
35_SVO_hypernyms.txt	1977	0.2878098128477491	0.31664137582195245	0.29225023342670403	0.30395727118232585	
10_multi_reg_geo.txt	2123	0.2680169571361281	0.29674988224211024	0.29411764705882354	0.2954279015240328	
15_multi_reg_w.txt	2062	0.27594568380213386	0.2982541222114452	0.28711484593837533	0.2925784966698382	
35_multi_sem_geo.txt	2136	0.2663857677902622	0.2794943820224719	0.27871148459383754	0.2791023842917251	
10_multi_sem_w.txt	2125	0.26776470588235296	0.28141176470588236	0.2791783380018674	0.28029060229669556	
15_multi_reg_geo.txt	2128	0.2673872180451128	0.29464285714285715	0.2927170868347339	0.2936768149882904	
35_multi_reg_w.txt	2137	0.26626111371080957	0.271408516612073	0.2707749766573296	0.2710913764898341	
10_multi_sem_geo.txt	2065	0.27554479418886196	0.28619854721549637	0.2759103641456583	0.28096030425481344	
15_multi_sem_w.txt	2132	0.2668855534709193	0.2668855534709193	0.26563958916900093	0.2662611137108095	
35_multi_reg_geo.txt	2137	0.26626111371080957	0.2938699110903135	0.2931839402427638	0.2935265248889928	
10_multi_reg_w.txt	1340	0.4246268656716418	0.42686567164179107	0.26704014939309056	0.32854681217690984	
15_multi_sem_geo.txt	2135	0.26651053864168617	0.26885245901639343	0.2679738562091503	0.2684124386252046	
35_multi_sem_w.txt	2137	0.26626111371080957	0.26626111371080957	0.26563958916900093	0.2659499883150269	
